timestamp,plate_text
2025-09-17T07:33:17.656474,‘I
2025-09-17T07:33:25.357218,"—,"
2025-09-17T07:43:18.816302,my
2025-09-17T07:43:23.469349,cs
2025-09-17T07:43:24.729861,Ven
2025-09-17T08:02:53.776187,PS
2025-09-17T08:03:21.929541,TEE
2025-09-17T08:03:28.130350,AE
2025-09-17T08:06:52.744135,PS
2025-09-17T08:07:17.386861,TEE
2025-09-17T08:07:23.297141,AE
2025-09-17T08:07:30.401605,SP
2025-09-17T08:08:30.619035,1006057
2025-09-17T08:08:45.608770,10064057
2025-09-17T08:08:50.380288,57
2025-09-17T08:09:02.587048,YO
2025-09-17T08:09:05.315962,10057
2025-09-17T08:09:29.413161,1006057
2025-09-17T08:09:36.741384,10062057
2025-09-17T08:09:40.559596,10064057
2025-09-17T08:12:23.728678,1100605
